epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.281,2.41935,4.52921,1.83588,0.43563,0.55556,0.46998,0.20614,1.6906,2.79622,1.35418,0.09801,1e-05,1e-05
2,103.744,2.02216,2.78277,1.42487,0.48026,0.66667,0.50478,0.20886,1.64922,2.3311,1.30944,0.0950247,2.46906e-05,2.46906e-05
3,155.503,1.86489,1.48188,1.31254,1,0.19252,0.6135,0.30251,1.69779,2.53342,1.34931,0.092039,3.901e-05,3.901e-05
4,212.303,1.61676,1.16849,1.13032,1,0.19888,0.70374,0.31388,1.59856,2.88241,1.28384,0.089053,5.29581e-05,5.29581e-05
5,268.851,1.5557,1.21332,1.09787,0.21429,1,0.78385,0.37957,1.52607,2.77358,1.22994,0.0860665,6.6535e-05,6.6535e-05
6,348.068,1.63186,0.92349,1.21316,0.40909,1,0.92731,0.51441,1.33831,2.92724,1.14344,0.0830797,7.97406e-05,7.97406e-05
7,424.024,1.56268,1.09899,1.18977,0.47368,1,0.92625,0.56442,1.44012,2.85146,1.19081,0.0800926,9.2575e-05,9.2575e-05
8,488.371,1.63139,0.97736,1.18416,0.40909,1,0.85572,0.59603,1.40081,2.31305,1.25957,0.077105,0.000105038,0.000105038
9,549.517,1.59992,0.9001,1.30732,0.77095,0.75048,0.83858,0.52993,1.35105,2.16286,1.28696,0.0741171,0.00011713,0.00011713
10,624.868,1.32398,0.8827,1.16485,0.69425,0.75862,0.83393,0.49204,1.45518,1.81361,1.3555,0.0711289,0.000128851,0.000128851
11,692.022,1.36639,0.78012,1.19953,0.80999,1,0.907,0.53089,1.28017,1.39868,1.22979,0.0681402,0.0001402,0.0001402
12,751.465,1.38162,0.77927,1.12312,0.87347,1,0.973,0.67079,1.17054,0.83413,1.15896,0.0651512,0.000151178,0.000151178
13,807.856,1.43425,0.82083,1.14479,0.98616,1,0.995,0.65771,1.30175,0.61931,1.19832,0.0621618,0.000161785,0.000161785
14,858.547,1.55127,1.13859,1.22519,0.99208,1,0.995,0.62294,1.35153,0.66651,1.2369,0.059172,0.000172021,0.000172021
15,906.816,1.42409,0.77673,1.14072,0.9927,1,0.995,0.64555,1.36155,0.74497,1.25648,0.0561819,0.000181885,0.000181885
16,959.109,1.50468,0.78764,1.12297,0.98945,1,0.995,0.68735,1.34527,0.73198,1.25352,0.0531914,0.000191378,0.000191378
17,1008.42,1.32821,0.8236,1.1266,0.97887,1,0.995,0.69691,1.22021,0.79235,1.16988,0.0502005,0.0002005,0.0002005
18,1058.26,1.44996,0.82177,1.15276,0.98356,1,0.995,0.7046,1.12132,0.72804,1.09425,0.0472093,0.000209251,0.000209251
19,1108.27,1.28411,0.90472,1.1688,0.98356,1,0.995,0.7046,1.12132,0.72804,1.09425,0.0442176,0.00021763,0.00021763
20,1158.42,1.21827,0.67897,1.0841,0.99026,1,0.995,0.75162,1.08727,0.66469,1.06837,0.0412256,0.000225638,0.000225638
21,1206.75,1.2144,0.59448,1.09214,0.99292,1,0.995,0.72874,1.1116,0.58185,1.08123,0.0382333,0.000233275,0.000233275
22,1254.93,1.23327,0.70514,1.05483,0.99292,1,0.995,0.72874,1.1116,0.58185,1.08123,0.0352405,0.000240541,0.000240541
23,1305.98,1.29455,0.64558,1.13868,0.99275,1,0.995,0.74185,1.09945,0.60189,1.08316,0.0322474,0.000247435,0.000247435
24,1352.44,1.57366,0.77711,1.20221,0.9915,1,0.995,0.73943,1.11791,0.56752,1.09457,0.029254,0.000253958,0.000253958
25,1402.1,1.27881,0.61132,1.09797,0.9915,1,0.995,0.73943,1.11791,0.56752,1.09457,0.0262601,0.00026011,0.00026011
